field,external_label_source,method,combination,magnitude_bin,reference_magnitude_column,N_total,N_star,N_galaxy,N_valid_score,AUC,roc_computed,not_computed_reason,score_direction,number_of_bands_used_min,number_of_bands_used_median,number_of_bands_used_max,cross_validation_used,notes
ECDFS,HST,mean,r_only,mag < 22,dp2_cmodel_mag_r,277,42,235,277,0.999696048632219,True,,larger score is more star-like,1,1.0,1,False,
ECDFS,HST,mean,gri,mag < 22,dp2_cmodel_mag_r,277,42,235,277,0.9996960486322188,True,,larger score is more star-like,2,3.0,3,False,
ECDFS,HST,mean,ugrizy,mag < 22,dp2_cmodel_mag_r,277,42,235,277,0.998986828774063,True,,larger score is more star-like,3,6.0,6,False,
ECDFS,HST,mean,r_only,22 <= mag < 23,dp2_cmodel_mag_r,372,12,360,372,0.9854166666666666,True,,larger score is more star-like,1,1.0,1,False,
ECDFS,HST,mean,gri,22 <= mag < 23,dp2_cmodel_mag_r,372,12,360,372,0.9800925925925925,True,,larger score is more star-like,2,3.0,3,False,
ECDFS,HST,mean,ugrizy,22 <= mag < 23,dp2_cmodel_mag_r,372,12,360,372,0.9949074074074074,True,,larger score is more star-like,5,6.0,6,False,
ECDFS,HST,mean,r_only,23 <= mag < 24,dp2_cmodel_mag_r,949,16,933,949,0.9846596998928188,True,,larger score is more star-like,1,1.0,1,False,
ECDFS,HST,mean,gri,23 <= mag < 24,dp2_cmodel_mag_r,949,16,933,949,0.9882100750267954,True,,larger score is more star-like,2,3.0,3,False,
ECDFS,HST,mean,ugrizy,23 <= mag < 24,dp2_cmodel_mag_r,949,16,933,949,0.9815782422293676,True,,larger score is more star-like,4,6.0,6,False,
ECDFS,HST,mean,r_only,24 <= mag < 24.5,dp2_cmodel_mag_r,809,5,804,809,0.8718905472636816,True,,larger score is more star-like,1,1.0,1,False,
ECDFS,HST,mean,gri,24 <= mag < 24.5,dp2_cmodel_mag_r,809,5,804,809,0.8490049751243782,True,,larger score is more star-like,3,3.0,3,False,
ECDFS,HST,mean,ugrizy,24 <= mag < 24.5,dp2_cmodel_mag_r,809,5,804,809,0.8092039800995026,True,,larger score is more star-like,4,6.0,6,False,
ECDFS,HST,mean,r_only,24.5 <= mag < 25,dp2_cmodel_mag_r,1143,5,1138,1143,0.9486818980667837,True,,larger score is more star-like,1,1.0,1,False,
ECDFS,HST,mean,gri,24.5 <= mag < 25,dp2_cmodel_mag_r,1143,5,1138,1143,0.9289982425307557,True,,larger score is more star-like,2,3.0,3,False,
ECDFS,HST,mean,ugrizy,24.5 <= mag < 25,dp2_cmodel_mag_r,1143,5,1138,1143,0.9384885764499122,True,,larger score is more star-like,4,6.0,6,False,
ECDFS,HST,mean,r_only,25 <= mag < 25.5,dp2_cmodel_mag_r,1443,9,1434,1443,0.6758097009143035,True,,larger score is more star-like,1,1.0,1,False,
ECDFS,HST,mean,gri,25 <= mag < 25.5,dp2_cmodel_mag_r,1443,9,1434,1443,0.6422594142259415,True,,larger score is more star-like,2,3.0,3,False,
ECDFS,HST,mean,ugrizy,25 <= mag < 25.5,dp2_cmodel_mag_r,1443,9,1434,1443,0.683790485045715,True,,larger score is more star-like,3,6.0,6,False,
ECDFS,HST,mean,r_only,25.5 <= mag < 26,dp2_cmodel_mag_r,1379,7,1372,1379,0.5455018742190754,True,,larger score is more star-like,1,1.0,1,False,
ECDFS,HST,mean,gri,25.5 <= mag < 26,dp2_cmodel_mag_r,1379,7,1372,1379,0.5063515201999167,True,,larger score is more star-like,1,3.0,3,False,
ECDFS,HST,mean,ugrizy,25.5 <= mag < 26,dp2_cmodel_mag_r,1379,7,1372,1379,0.4906289046230737,True,,larger score is more star-like,2,5.0,6,False,
ECDFS,HST,mean,r_only,26 <= mag < 26.5,dp2_cmodel_mag_r,684,5,679,684,0.5805596465390279,True,,larger score is more star-like,1,1.0,1,False,
ECDFS,HST,mean,gri,26 <= mag < 26.5,dp2_cmodel_mag_r,684,5,679,684,0.5431516936671577,True,,larger score is more star-like,2,3.0,3,False,
ECDFS,HST,mean,ugrizy,26 <= mag < 26.5,dp2_cmodel_mag_r,684,5,679,684,0.5522827687776142,True,,larger score is more star-like,3,5.0,6,False,
ECDFS,HST,likelihood,r_only,mag < 22,dp2_cmodel_mag_r,277,42,235,277,0.9498480243161094,True,,larger score is more star-like,1,1.0,1,True,5-fold out-of-fold likelihood
ECDFS,HST,likelihood,gri,mag < 22,dp2_cmodel_mag_r,277,42,235,277,0.9806484295845997,True,,larger score is more star-like,2,3.0,3,True,5-fold out-of-fold likelihood
ECDFS,HST,likelihood,ugrizy,mag < 22,dp2_cmodel_mag_r,277,42,235,277,0.9713272543059777,True,,larger score is more star-like,3,6.0,6,True,5-fold out-of-fold likelihood
ECDFS,HST,likelihood,r_only,22 <= mag < 23,dp2_cmodel_mag_r,372,12,360,372,0.8658564814814815,True,,larger score is more star-like,1,1.0,1,True,5-fold out-of-fold likelihood
ECDFS,HST,likelihood,gri,22 <= mag < 23,dp2_cmodel_mag_r,372,12,360,372,0.9231481481481482,True,,larger score is more star-like,2,3.0,3,True,5-fold out-of-fold likelihood
ECDFS,HST,likelihood,ugrizy,22 <= mag < 23,dp2_cmodel_mag_r,372,12,360,372,0.8587962962962963,True,,larger score is more star-like,5,6.0,6,True,5-fold out-of-fold likelihood
ECDFS,HST,likelihood,r_only,23 <= mag < 24,dp2_cmodel_mag_r,949,16,933,949,0.8336682743837084,True,,larger score is more star-like,1,1.0,1,True,5-fold out-of-fold likelihood
ECDFS,HST,likelihood,gri,23 <= mag < 24,dp2_cmodel_mag_r,949,16,933,949,0.8175576098606645,True,,larger score is more star-like,2,3.0,3,True,5-fold out-of-fold likelihood
ECDFS,HST,likelihood,ugrizy,23 <= mag < 24,dp2_cmodel_mag_r,949,16,933,949,0.797226688102894,True,,larger score is more star-like,4,6.0,6,True,5-fold out-of-fold likelihood
ECDFS,HST,likelihood,r_only,24 <= mag < 24.5,dp2_cmodel_mag_r,809,5,804,809,0.08582089552238807,True,,larger score is more star-like,1,1.0,1,True,5-fold out-of-fold likelihood
ECDFS,HST,likelihood,gri,24 <= mag < 24.5,dp2_cmodel_mag_r,809,5,804,809,0.22549751243781097,True,,larger score is more star-like,3,3.0,3,True,5-fold out-of-fold likelihood
ECDFS,HST,likelihood,ugrizy,24 <= mag < 24.5,dp2_cmodel_mag_r,809,5,804,809,0.490547263681592,True,,larger score is more star-like,4,6.0,6,True,5-fold out-of-fold likelihood
ECDFS,HST,likelihood,r_only,24.5 <= mag < 25,dp2_cmodel_mag_r,1143,5,1138,1143,0.6482425307557118,True,,larger score is more star-like,1,1.0,1,True,5-fold out-of-fold likelihood
ECDFS,HST,likelihood,gri,24.5 <= mag < 25,dp2_cmodel_mag_r,1143,5,1138,1143,0.5224956063268892,True,,larger score is more star-like,2,3.0,3,True,5-fold out-of-fold likelihood
ECDFS,HST,likelihood,ugrizy,24.5 <= mag < 25,dp2_cmodel_mag_r,1143,5,1138,1143,0.6059753954305799,True,,larger score is more star-like,4,6.0,6,True,5-fold out-of-fold likelihood
ECDFS,HST,likelihood,r_only,25 <= mag < 25.5,dp2_cmodel_mag_r,1443,9,1434,1443,0.420308383697505,True,,larger score is more star-like,1,1.0,1,True,5-fold out-of-fold likelihood
ECDFS,HST,likelihood,gri,25 <= mag < 25.5,dp2_cmodel_mag_r,1443,9,1434,1443,0.435456376878971,True,,larger score is more star-like,2,3.0,3,True,5-fold out-of-fold likelihood
ECDFS,HST,likelihood,ugrizy,25 <= mag < 25.5,dp2_cmodel_mag_r,1443,9,1434,1443,0.4251510925151093,True,,larger score is more star-like,3,6.0,6,True,5-fold out-of-fold likelihood
ECDFS,HST,likelihood,r_only,25.5 <= mag < 26,dp2_cmodel_mag_r,1379,7,1372,1379,0.34865680966264057,True,,larger score is more star-like,1,1.0,1,True,5-fold out-of-fold likelihood
ECDFS,HST,likelihood,gri,25.5 <= mag < 26,dp2_cmodel_mag_r,1379,7,1372,1379,0.42898792169929195,True,,larger score is more star-like,1,3.0,3,True,5-fold out-of-fold likelihood
ECDFS,HST,likelihood,ugrizy,25.5 <= mag < 26,dp2_cmodel_mag_r,1379,7,1372,1379,0.4714181591003749,True,,larger score is more star-like,2,5.0,6,True,5-fold out-of-fold likelihood
ECDFS,HST,likelihood,r_only,26 <= mag < 26.5,dp2_cmodel_mag_r,684,5,679,684,0.3141384388807069,True,,larger score is more star-like,1,1.0,1,True,5-fold out-of-fold likelihood
ECDFS,HST,likelihood,gri,26 <= mag < 26.5,dp2_cmodel_mag_r,684,5,679,684,0.5779086892488955,True,,larger score is more star-like,2,3.0,3,True,5-fold out-of-fold likelihood
ECDFS,HST,likelihood,ugrizy,26 <= mag < 26.5,dp2_cmodel_mag_r,684,5,679,684,0.41840942562592054,True,,larger score is more star-like,3,5.0,6,True,5-fold out-of-fold likelihood
COSMOS,COSMOS2020,mean,r_only,mag < 22,dp2_cmodel_mag_r,13165,3476,9689,13165,0.9951775535613268,True,,larger score is more star-like,1,1.0,1,False,
COSMOS,COSMOS2020,mean,gri,mag < 22,dp2_cmodel_mag_r,13165,3476,9689,13165,0.995909019054149,True,,larger score is more star-like,3,3.0,3,False,
COSMOS,COSMOS2020,mean,ugrizy,mag < 22,dp2_cmodel_mag_r,13165,3476,9689,13165,0.9958254060308981,True,,larger score is more star-like,5,6.0,6,False,
COSMOS,COSMOS2020,mean,r_only,22 <= mag < 23,dp2_cmodel_mag_r,16302,1718,14584,16302,0.9886016586023754,True,,larger score is more star-like,1,1.0,1,False,
COSMOS,COSMOS2020,mean,gri,22 <= mag < 23,dp2_cmodel_mag_r,16302,1718,14584,16302,0.9887316509968026,True,,larger score is more star-like,2,3.0,3,False,
COSMOS,COSMOS2020,mean,ugrizy,22 <= mag < 23,dp2_cmodel_mag_r,16302,1718,14584,16302,0.9870746770185898,True,,larger score is more star-like,4,6.0,6,False,
COSMOS,COSMOS2020,mean,r_only,23 <= mag < 24,dp2_cmodel_mag_r,40073,2192,37881,40073,0.9625689912628812,True,,larger score is more star-like,1,1.0,1,False,
COSMOS,COSMOS2020,mean,gri,23 <= mag < 24,dp2_cmodel_mag_r,40073,2192,37881,40073,0.9636423499290999,True,,larger score is more star-like,2,3.0,3,False,
COSMOS,COSMOS2020,mean,ugrizy,23 <= mag < 24,dp2_cmodel_mag_r,40073,2192,37881,40073,0.9581595394682965,True,,larger score is more star-like,4,6.0,6,False,
COSMOS,COSMOS2020,mean,r_only,24 <= mag < 24.5,dp2_cmodel_mag_r,37417,1388,36029,37417,0.9041737251683982,True,,larger score is more star-like,1,1.0,1,False,
COSMOS,COSMOS2020,mean,gri,24 <= mag < 24.5,dp2_cmodel_mag_r,37417,1388,36029,37417,0.9139602300036402,True,,larger score is more star-like,2,3.0,3,False,
COSMOS,COSMOS2020,mean,ugrizy,24 <= mag < 24.5,dp2_cmodel_mag_r,37417,1388,36029,37417,0.8915320315535125,True,,larger score is more star-like,2,6.0,6,False,
COSMOS,COSMOS2020,mean,r_only,24.5 <= mag < 25,dp2_cmodel_mag_r,50515,1700,48815,50515,0.8506165173433913,True,,larger score is more star-like,1,1.0,1,False,
COSMOS,COSMOS2020,mean,gri,24.5 <= mag < 25,dp2_cmodel_mag_r,50515,1700,48815,50515,0.8580742900868223,True,,larger score is more star-like,2,3.0,3,False,
COSMOS,COSMOS2020,mean,ugrizy,24.5 <= mag < 25,dp2_cmodel_mag_r,50515,1700,48815,50515,0.8259637406534877,True,,larger score is more star-like,3,6.0,6,False,
COSMOS,COSMOS2020,mean,r_only,25 <= mag < 25.5,dp2_cmodel_mag_r,65020,1777,63243,65020,0.7940311441400055,True,,larger score is more star-like,1,1.0,1,False,
COSMOS,COSMOS2020,mean,gri,25 <= mag < 25.5,dp2_cmodel_mag_r,65020,1777,63243,65020,0.8064890368332217,True,,larger score is more star-like,1,3.0,3,False,
COSMOS,COSMOS2020,mean,ugrizy,25 <= mag < 25.5,dp2_cmodel_mag_r,65020,1777,63243,65020,0.7967800698631751,True,,larger score is more star-like,2,6.0,6,False,
COSMOS,COSMOS2020,mean,r_only,25.5 <= mag < 26,dp2_cmodel_mag_r,71604,1548,70056,71604,0.7065355790303158,True,,larger score is more star-like,1,1.0,1,False,
COSMOS,COSMOS2020,mean,gri,25.5 <= mag < 26,dp2_cmodel_mag_r,71604,1548,70056,71604,0.7357411044217412,True,,larger score is more star-like,1,3.0,3,False,
COSMOS,COSMOS2020,mean,ugrizy,25.5 <= mag < 26,dp2_cmodel_mag_r,71604,1548,70056,71604,0.7457938595598235,True,,larger score is more star-like,2,6.0,6,False,
COSMOS,COSMOS2020,mean,r_only,26 <= mag < 26.5,dp2_cmodel_mag_r,56151,1096,55055,56151,0.6209908621570865,True,,larger score is more star-like,1,1.0,1,False,
COSMOS,COSMOS2020,mean,gri,26 <= mag < 26.5,dp2_cmodel_mag_r,56151,1096,55055,56151,0.6288890439354937,True,,larger score is more star-like,1,3.0,3,False,
COSMOS,COSMOS2020,mean,ugrizy,26 <= mag < 26.5,dp2_cmodel_mag_r,56151,1096,55055,56151,0.6755280055047805,True,,larger score is more star-like,2,6.0,6,False,
COSMOS,COSMOS2020,likelihood,r_only,mag < 22,dp2_cmodel_mag_r,13165,3476,9689,13165,0.9779816119046891,True,,larger score is more star-like,1,1.0,1,True,5-fold out-of-fold likelihood
COSMOS,COSMOS2020,likelihood,gri,mag < 22,dp2_cmodel_mag_r,13165,3476,9689,13165,0.9799650606829831,True,,larger score is more star-like,3,3.0,3,True,5-fold out-of-fold likelihood
COSMOS,COSMOS2020,likelihood,ugrizy,mag < 22,dp2_cmodel_mag_r,13165,3476,9689,13165,0.9911877782226317,True,,larger score is more star-like,5,6.0,6,True,5-fold out-of-fold likelihood
COSMOS,COSMOS2020,likelihood,r_only,22 <= mag < 23,dp2_cmodel_mag_r,16302,1718,14584,16302,0.9431157153421199,True,,larger score is more star-like,1,1.0,1,True,5-fold out-of-fold likelihood
COSMOS,COSMOS2020,likelihood,gri,22 <= mag < 23,dp2_cmodel_mag_r,16302,1718,14584,16302,0.9457056252183169,True,,larger score is more star-like,2,3.0,3,True,5-fold out-of-fold likelihood
COSMOS,COSMOS2020,likelihood,ugrizy,22 <= mag < 23,dp2_cmodel_mag_r,16302,1718,14584,16302,0.9786916642666433,True,,larger score is more star-like,4,6.0,6,True,5-fold out-of-fold likelihood
COSMOS,COSMOS2020,likelihood,r_only,23 <= mag < 24,dp2_cmodel_mag_r,40073,2192,37881,40073,0.8942277964397537,True,,larger score is more star-like,1,1.0,1,True,5-fold out-of-fold likelihood
COSMOS,COSMOS2020,likelihood,gri,23 <= mag < 24,dp2_cmodel_mag_r,40073,2192,37881,40073,0.9099255156418574,True,,larger score is more star-like,2,3.0,3,True,5-fold out-of-fold likelihood
COSMOS,COSMOS2020,likelihood,ugrizy,23 <= mag < 24,dp2_cmodel_mag_r,40073,2192,37881,40073,0.9370484261894286,True,,larger score is more star-like,4,6.0,6,True,5-fold out-of-fold likelihood
COSMOS,COSMOS2020,likelihood,r_only,24 <= mag < 24.5,dp2_cmodel_mag_r,37417,1388,36029,37417,0.8458205857705244,True,,larger score is more star-like,1,1.0,1,True,5-fold out-of-fold likelihood
COSMOS,COSMOS2020,likelihood,gri,24 <= mag < 24.5,dp2_cmodel_mag_r,37417,1388,36029,37417,0.8729315413784109,True,,larger score is more star-like,2,3.0,3,True,5-fold out-of-fold likelihood
COSMOS,COSMOS2020,likelihood,ugrizy,24 <= mag < 24.5,dp2_cmodel_mag_r,37417,1388,36029,37417,0.8901555987199873,True,,larger score is more star-like,2,6.0,6,True,5-fold out-of-fold likelihood
COSMOS,COSMOS2020,likelihood,r_only,24.5 <= mag < 25,dp2_cmodel_mag_r,50515,1700,48815,50515,0.7927930662585633,True,,larger score is more star-like,1,1.0,1,True,5-fold out-of-fold likelihood
COSMOS,COSMOS2020,likelihood,gri,24.5 <= mag < 25,dp2_cmodel_mag_r,50515,1700,48815,50515,0.8428621867675679,True,,larger score is more star-like,2,3.0,3,True,5-fold out-of-fold likelihood
COSMOS,COSMOS2020,likelihood,ugrizy,24.5 <= mag < 25,dp2_cmodel_mag_r,50515,1700,48815,50515,0.8577037916262479,True,,larger score is more star-like,3,6.0,6,True,5-fold out-of-fold likelihood
COSMOS,COSMOS2020,likelihood,r_only,25 <= mag < 25.5,dp2_cmodel_mag_r,65020,1777,63243,65020,0.753258868030984,True,,larger score is more star-like,1,1.0,1,True,5-fold out-of-fold likelihood
COSMOS,COSMOS2020,likelihood,gri,25 <= mag < 25.5,dp2_cmodel_mag_r,65020,1777,63243,65020,0.8067502956479705,True,,larger score is more star-like,1,3.0,3,True,5-fold out-of-fold likelihood
COSMOS,COSMOS2020,likelihood,ugrizy,25 <= mag < 25.5,dp2_cmodel_mag_r,65020,1777,63243,65020,0.816956776423754,True,,larger score is more star-like,2,6.0,6,True,5-fold out-of-fold likelihood
COSMOS,COSMOS2020,likelihood,r_only,25.5 <= mag < 26,dp2_cmodel_mag_r,71604,1548,70056,71604,0.6927075864225564,True,,larger score is more star-like,1,1.0,1,True,5-fold out-of-fold likelihood
COSMOS,COSMOS2020,likelihood,gri,25.5 <= mag < 26,dp2_cmodel_mag_r,71604,1548,70056,71604,0.746122408090508,True,,larger score is more star-like,1,3.0,3,True,5-fold out-of-fold likelihood
COSMOS,COSMOS2020,likelihood,ugrizy,25.5 <= mag < 26,dp2_cmodel_mag_r,71604,1548,70056,71604,0.7736228514419916,True,,larger score is more star-like,2,6.0,6,True,5-fold out-of-fold likelihood
COSMOS,COSMOS2020,likelihood,r_only,26 <= mag < 26.5,dp2_cmodel_mag_r,56151,1096,55055,56151,0.6007786423927765,True,,larger score is more star-like,1,1.0,1,True,5-fold out-of-fold likelihood
COSMOS,COSMOS2020,likelihood,gri,26 <= mag < 26.5,dp2_cmodel_mag_r,56151,1096,55055,56151,0.6647176728381108,True,,larger score is more star-like,1,3.0,3,True,5-fold out-of-fold likelihood
COSMOS,COSMOS2020,likelihood,ugrizy,26 <= mag < 26.5,dp2_cmodel_mag_r,56151,1096,55055,56151,0.744432268130012,True,,larger score is more star-like,2,6.0,6,True,5-fold out-of-fold likelihood
